num,apps,num_families,total_secs,pre_allocation_secs,allocation_secs,partial_ilp_seconds,pre_allocation_lower_bound_cost,cost,min_pred_cost,num_vms,failed,timed_out,problem_file,solution_file,correct,cost-min_pred_cost,N,M,V,C
218,26,1,0.554424524307251,0.2700419425964355,0.2769474983215332,0.0804581642150878,45.774,55.44319999999999,44.58394697359528,11,False,False,out_scaling/20250319_121751/problem_e_218_a_26_f_1.json,out_scaling/20250319_121751/sol_e_218_a_26_f_1.json,True,10.859253026404708,26,27,23.486271599159227,455.25143009981923
219,98,2,11.761636018753052,11.126369714736938,0.6085317134857178,10.0965895652771,32.064,39.02519999999999,28.34265088004365,11,False,False,out_scaling/20250319_121751/problem_e_219_a_98_f_2.json,out_scaling/20250319_121751/sol_e_219_a_98_f_2.json,True,10.682549119956342,98,48,35.47640093578958,560.3218046054784
220,7,2,0.3205118179321289,0.2745509147644043,0.0419445037841796,0.1282191276550293,0.83265773,0.8997999999999999,0.6117359034471541,3,False,False,out_scaling/20250319_121751/problem_e_220_a_7_f_2.json,out_scaling/20250319_121751/sol_e_220_a_7_f_2.json,True,0.2880640965528458,7,51,0.7101518640377382,13.01098869565591
221,35,4,40.20461177825928,40.020256757736206,0.1702747344970703,39.18868684768677,6.3059153,7.487480000000001,4.600811048845348,16,False,False,out_scaling/20250319_121751/problem_e_221_a_35_f_4.json,out_scaling/20250319_121751/sol_e_221_a_35_f_4.json,True,2.886668951154652,35,105,5.6176357602377065,92.9820178546067
222,7,3,0.3881769180297851,0.3437745571136474,0.042393684387207,0.136514663696289,1.56212,2.17426,0.97304547703654,5,False,False,out_scaling/20250319_121751/problem_e_222_a_7_f_3.json,out_scaling/20250319_121751/sol_e_222_a_7_f_3.json,True,1.2012145229634599,7,78,1.2005249962174223,17.050069466980045
223,30,2,0.879436731338501,0.5936977863311768,0.2762057781219482,0.220515489578247,14.077,21.0848,12.717617026008073,6,False,False,out_scaling/20250319_121751/problem_e_223_a_30_f_2.json,out_scaling/20250319_121751/sol_e_223_a_30_f_2.json,True,8.367182973991929,30,54,7.833920484095288,168.1987073941298
224,81,2,1.870264768600464,1.3019115924835205,0.5442886352539062,0.432255744934082,44.49,49.1696,41.214451080180034,15,False,False,out_scaling/20250319_121751/problem_e_224_a_81_f_2.json,out_scaling/20250319_121751/sol_e_224_a_81_f_2.json,True,7.955148919819969,81,51,49.7213593950678,905.6421660850093
225,57,1,1.0916833877563477,0.5575129985809326,0.5161314010620117,0.2406163215637207,57.865,66.384,54.1891422961707,17,False,False,out_scaling/20250319_121751/problem_e_225_a_57_f_1.json,out_scaling/20250319_121751/sol_e_225_a_57_f_1.json,True,12.1948577038293,57,24,40.39048351487668,563.4464677128266
226,56,2,1.277080774307251,0.912264347076416,0.347625732421875,0.3135044574737549,24.157927,28.028,22.05222818157505,10,False,False,out_scaling/20250319_121751/problem_e_226_a_56_f_2.json,out_scaling/20250319_121751/sol_e_226_a_56_f_2.json,True,5.975771818424949,56,48,23.645834478719866,352.0833329322753
227,47,3,4.881427764892578,4.690228462219238,0.17610764503479,3.856250524520874,8.646,10.516800000000002,6.921251516903792,9,False,False,out_scaling/20250319_121751/problem_e_227_a_47_f_3.json,out_scaling/20250319_121751/sol_e_227_a_47_f_3.json,True,3.59554848309621,47,81,9.320782900200067,209.33578123127768
228,23,3,26.06449031829834,25.90651798248291,0.1526477336883545,25.452590227127075,3.956,4.6852,3.011984144820805,4,False,False,out_scaling/20250319_121751/problem_e_228_a_23_f_3.json,out_scaling/20250319_121751/sol_e_228_a_23_f_3.json,True,1.673215855179195,23,78,3.2996076271082706,55.10515668752578
229,30,4,48.8341326713562,48.68435525894165,0.1404612064361572,47.98826265335083,7.2056267,8.822880000000001,4.910158277840035,12,False,False,out_scaling/20250319_121751/problem_e_229_a_30_f_4.json,out_scaling/20250319_121751/sol_e_229_a_30_f_4.json,True,3.912721722159967,30,105,5.365599003402463,70.98736762994228
230,4,4,0.4445874691009521,0.3748323917388916,0.0687484741210937,0.2361869812011718,2.48756,3.45392,2.01701899117141,6,False,False,out_scaling/20250319_121751/problem_e_230_a_4_f_4.json,out_scaling/20250319_121751/sol_e_230_a_4_f_4.json,True,1.43690100882859,4,105,1.9800658832638567,26.671939204847153
231,71,2,1.343472242355347,0.868314266204834,0.4522950649261474,0.1123158931732177,30.502,37.0232,28.3229122343277,12,False,False,out_scaling/20250319_121751/problem_e_231_a_71_f_2.json,out_scaling/20250319_121751/sol_e_231_a_71_f_2.json,True,8.700287765672304,71,51,27.947257348270576,633.1124178671798
232,42,4,305.2359974384308,305.0593910217285,0.1628165245056152,304.0970346927643,9.528,11.479679999999998,7.593160929059479,13,False,False,out_scaling/20250319_121751/problem_e_232_a_42_f_4.json,out_scaling/20250319_121751/sol_e_232_a_42_f_4.json,True,3.886519070940519,42,105,11.246617016648235,168.5137704166557
233,44,2,5.83492636680603,5.515671968460083,0.3051047325134277,5.015146970748901,18.042891,21.985200000000003,16.552304844167498,8,False,False,out_scaling/20250319_121751/problem_e_233_a_44_f_2.json,out_scaling/20250319_121751/sol_e_233_a_44_f_2.json,True,5.4328951558325045,44,48,22.965644112041836,409.0852745273868
234,10,1,0.1961541175842285,0.1471891403198242,0.0451958179473876,0.0434162616729736,10.79176,12.55368,10.262388156652912,3,False,False,out_scaling/20250319_121751/problem_e_234_a_10_f_1.json,out_scaling/20250319_121751/sol_e_234_a_10_f_1.json,True,2.2912918433470875,10,30,5.403112946989561,197.7129680411778
235,25,1,0.9645950794219972,0.2250926494598388,0.7239844799041748,0.0529937744140625,47.05,59.20319999999999,46.9606509704913,16,False,False,out_scaling/20250319_121751/problem_e_235_a_25_f_1.json,out_scaling/20250319_121751/sol_e_235_a_25_f_1.json,True,12.242549029508687,25,24,41.54152721926726,741.2551680726613
236,84,4,75.45873260498047,75.10090112686157,0.3335025310516357,73.37605619430542,14.424823,18.04872,10.545175231345349,11,False,False,out_scaling/20250319_121751/problem_e_236_a_84_f_4.json,out_scaling/20250319_121751/sol_e_236_a_84_f_4.json,True,7.503544768654651,84,105,14.491333623067467,222.12047634233434
237,20,4,37.80157279968262,37.66372227668762,0.1323485374450683,37.1295473575592,5.4146658,7.27648,4.765555551425824,6,False,False,out_scaling/20250319_121751/problem_e_237_a_20_f_4.json,out_scaling/20250319_121751/sol_e_237_a_20_f_4.json,True,2.510924448574176,20,105,4.570981511797658,87.91323439277296
238,13,4,21.161509037017822,21.04568910598755,0.1105706691741943,20.66547727584839,3.19828,4.358,2.229128517690448,8,False,False,out_scaling/20250319_121751/problem_e_238_a_13_f_4.json,out_scaling/20250319_121751/sol_e_238_a_13_f_4.json,True,2.1288714823095516,13,105,3.139581033186845,42.96160481296517
239,69,2,1.4434213638305664,1.080960035324097,0.3451719284057617,0.3164684772491455,34.810825,39.048,31.86314543060052,11,False,False,out_scaling/20250319_121751/problem_e_239_a_69_f_2.json,out_scaling/20250319_121751/sol_e_239_a_69_f_2.json,True,7.18485456939948,69,51,36.18882295047696,599.7035948403244
240,1,1,0.1244022846221923,0.0847918987274169,0.0392665863037109,0.0432174205780029,1.824,3.3839999999999995,1.619192113792968,2,False,False,out_scaling/20250319_121751/problem_e_240_a_1_f_1.json,out_scaling/20250319_121751/sol_e_240_a_1_f_1.json,True,1.7648078862070316,1,27,0.8138643231244252,15.099934002866046
241,37,2,1.411156177520752,1.225205421447754,0.1769378185272216,0.7717640399932861,13.65761,16.2568,12.026250223765992,6,False,False,out_scaling/20250319_121751/problem_e_241_a_37_f_2.json,out_scaling/20250319_121751/sol_e_241_a_37_f_2.json,True,4.230549776234007,37,51,12.771665275678837,218.84589419761707
242,69,3,35.48824071884155,35.167186975479126,0.3021283149719238,34.00699591636658,14.316937,18.0736,12.447912026897855,11,False,False,out_scaling/20250319_121751/problem_e_242_a_69_f_3.json,out_scaling/20250319_121751/sol_e_242_a_69_f_3.json,True,5.625687973102144,69,75,18.3851556967007,364.736472343762
243,86,2,2.0204648971557617,1.0745468139648438,0.9162898063659668,0.175469160079956,51.788,63.4752,47.6746720015521,15,False,False,out_scaling/20250319_121751/problem_e_243_a_86_f_2.json,out_scaling/20250319_121751/sol_e_243_a_86_f_2.json,True,15.800527998447897,86,48,44.919366624674666,625.2692713758651
244,83,4,388.9416644573212,388.6319200992584,0.2937302589416504,386.8566913604736,11.758672,14.0224,8.433276889202252,7,False,False,out_scaling/20250319_121751/problem_e_244_a_83_f_4.json,out_scaling/20250319_121751/sol_e_244_a_83_f_4.json,True,5.589123110797747,83,105,13.677703769736166,215.8538817256907
245,87,4,602.980634689331,602.5655493736267,0.3917629718780517,600.7421305179596,24.557,31.65368,20.764218474279023,14,False,True,out_scaling/20250319_121751/problem_e_245_a_87_f_4.json,out_scaling/20250319_121751/sol_e_245_a_87_f_4.json,False,10.889461525720979,87,105,22.5210738079218,381.40049875009606
246,58,2,1.3187665939331057,0.9949057102203368,0.3060567378997803,0.3584592342376709,34.982,43.713440000000006,32.29055086600077,9,False,False,out_scaling/20250319_121751/problem_e_246_a_58_f_2.json,out_scaling/20250319_121751/sol_e_246_a_58_f_2.json,True,11.422889133999234,58,54,27.105245304228173,462.5209424474848
247,74,2,2.034176111221313,0.9913921356201172,1.0207180976867676,0.2188937664031982,57.443625,71.9712,54.63231795362815,22,False,False,out_scaling/20250319_121751/problem_e_247_a_74_f_2.json,out_scaling/20250319_121751/sol_e_247_a_74_f_2.json,True,17.338882046371843,74,48,52.98990332103958,843.7211764989555
248,5,1,0.1640412807464599,0.1126205921173095,0.0474059581756591,0.0479264259338378,33.078,39.31284000000001,32.86145187781131,7,False,False,out_scaling/20250319_121751/problem_e_248_a_5_f_1.json,out_scaling/20250319_121751/sol_e_248_a_5_f_1.json,True,6.451388122188696,5,30,14.308504984620138,369.2278960457868
249,5,3,0.286534309387207,0.2489197254180908,0.0356044769287109,0.1285762786865234,0.5800000000000001,0.7612,0.1791898810478861,3,False,False,out_scaling/20250319_121751/problem_e_249_a_5_f_3.json,out_scaling/20250319_121751/sol_e_249_a_5_f_3.json,True,0.5820101189521139,5,78,0.24171119495744894,6.039661205519593
250,31,2,5.624901294708252,5.457193613052368,0.1584281921386718,5.088042736053467,18.807792,23.36808,17.045761573515648,9,False,False,out_scaling/20250319_121751/problem_e_250_a_31_f_2.json,out_scaling/20250319_121751/sol_e_250_a_31_f_2.json,True,6.322318426484351,31,54,12.7312841650973,185.39759133217322
251,59,3,28.34073495864868,28.05684733390808,0.2685928344726562,27.13363027572632,15.952941,19.89296,12.80650472435822,11,False,False,out_scaling/20250319_121751/problem_e_251_a_59_f_3.json,out_scaling/20250319_121751/sol_e_251_a_59_f_3.json,True,7.086455275641779,59,78,16.16129368380125,231.66127025200336
252,16,2,0.5078697204589844,0.4164764881134033,0.0873749256134033,0.1711080074310302,8.2987496,10.093800000000002,7.707108282147529,5,False,False,out_scaling/20250319_121751/problem_e_252_a_16_f_2.json,out_scaling/20250319_121751/sol_e_252_a_16_f_2.json,True,2.3866917178524725,16,54,4.841316398880268,76.3891991097051
253,100,2,30.519617557525635,29.80569267272949,0.6823477745056152,28.794214248657227,60.472,69.09599999999998,56.72025464058841,20,False,False,out_scaling/20250319_121751/problem_e_253_a_100_f_2.json,out_scaling/20250319_121751/sol_e_253_a_100_f_2.json,True,12.375745359411567,100,48,55.96912144760398,894.2257288703421
254,17,2,0.6186442375183105,0.3971047401428222,0.2155177593231201,0.1402711868286132,10.482828,15.00592,9.727211808915802,7,False,False,out_scaling/20250319_121751/problem_e_254_a_17_f_2.json,out_scaling/20250319_121751/sol_e_254_a_17_f_2.json,True,5.278708191084197,17,54,6.5287667683742745,131.09205557491353
255,14,3,2.805081367492676,2.6726737022399902,0.1266884803771972,2.3980424404144287,2.4966,3.4832,1.7853249953799772,8,False,False,out_scaling/20250319_121751/problem_e_255_a_14_f_3.json,out_scaling/20250319_121751/sol_e_255_a_14_f_3.json,True,1.6978750046200228,14,75,3.5794888757468177,58.436696772404204
256,34,3,9.61683464050293,9.432177782058716,0.1746237277984619,8.855965614318848,6.96289,9.01256,5.341930434518969,11,False,False,out_scaling/20250319_121751/problem_e_256_a_34_f_3.json,out_scaling/20250319_121751/sol_e_256_a_34_f_3.json,True,3.6706295654810317,34,78,5.592075555601586,104.58618928574091
257,97,4,602.712117433548,602.3205633163452,0.3708539009094238,600.3698952198029,18.216555,23.20304,13.933238290081622,12,False,True,out_scaling/20250319_121751/problem_e_257_a_97_f_4.json,out_scaling/20250319_121751/sol_e_257_a_97_f_4.json,False,9.26980170991838,97,105,19.249672503330057,308.09583783109076
258,40,1,1.3036272525787354,0.3222205638885498,0.9583508968353271,0.0929198265075683,85.698,120.072,83.7552610945299,35,False,False,out_scaling/20250319_121751/problem_e_258_a_40_f_1.json,out_scaling/20250319_121751/sol_e_258_a_40_f_1.json,True,36.3167389054701,40,24,66.78325753624678,905.2073610524511
259,61,4,602.4590361118317,602.1472387313843,0.2975056171417236,600.8693861961365,13.237,17.79312,11.14589676003337,9,False,True,out_scaling/20250319_121751/problem_e_259_a_61_f_4.json,out_scaling/20250319_121751/sol_e_259_a_61_f_4.json,False,6.647223239966628,61,105,13.755082107110832,249.19891991289808
